columns,rows,chunk_size,writing(μs),reading_all(μs),reading_100(μs)
200,100,10000,6685.733795166016,5734.20524597168,3293.752670288086
300,100,10000,6658.077239990234,6769.895553588867,4118.204116821289
400,100,10000,9304.285049438477,10047.197341918945,4402.637481689453
500,100,10000,11253.35693359375,9991.40739440918,5804.0618896484375
600,100,10000,12809.514999389648,9402.751922607422,5179.405212402344
700,100,10000,17364.025115966797,20495.41473388672,6280.422210693359
800,100,10000,18906.593322753906,17927.169799804688,5913.257598876953
900,100,10000,19065.85693359375,18824.57733154297,6757.974624633789
1000,100,10000,21116.49513244629,18361.806869506836,7257.223129272461
2000,100,10000,41523.45657348633,25695.085525512695,11812.448501586914
3000,100,10000,62493.324279785156,41586.875915527344,19807.33871459961
4000,100,10000,84943.77136230469,63735.4850769043,20452.499389648438
5000,100,10000,106500.14877319336,102597.71347045898,25137.662887573242
6000,100,10000,126170.63522338867,76101.30310058594,30866.622924804688
7000,100,10000,146913.7668609619,136107.2063446045,33653.49769592285
8000,100,10000,166505.3367614746,106364.72702026367,38724.660873413086
9000,100,10000,189798.83193969727,144503.59344482422,43668.03169250488
10000,100,10000,207449.67460632324,170887.23182678223,46694.51713562012
20000,100,10000,410067.081451416,385048.86627197266,95761.06071472168
30000,100,10000,624316.4539337158,629368.782043457,143832.92198181152
40000,100,10000,825600.1472473145,874646.6636657715,190566.3013458252
50000,100,10000,1058320.7607269287,1036782.97996521,245434.28421020508
100,5000,10000,28326.749801635742,5118.131637573242,3578.18603515625
200,5000,10000,40251.25503540039,8913.278579711914,4935.741424560547
300,5000,10000,56247.711181640625,10975.837707519531,4584.550857543945
400,5000,10000,73430.06134033203,16290.664672851562,6285.905838012695
500,5000,10000,94182.49130249023,17615.556716918945,6935.11962890625
600,5000,10000,107975.48294067383,23658.51402282715,5944.728851318359
700,5000,10000,129116.53518676758,23469.209671020508,8251.667022705078
800,5000,10000,149390.22064208984,24420.26138305664,7469.892501831055
900,5000,10000,164888.3819580078,28076.171875,7323.265075683594
1000,5000,10000,180355.54885864258,32642.126083374023,13664.007186889648
2000,5000,10000,360436.43951416016,40706.87294006348,13442.9931640625
3000,5000,10000,2530023.3364105225,67020.17784118652,19219.87533569336
4000,5000,10000,2398095.13092041,87939.26239013672,23477.07748413086
5000,5000,10000,898860.9313964844,126773.35739135742,27083.873748779297
