name,columns,rows,chunk_size,columns_to_read,reading(μs),reading_p1(μs),reading_p2(μs)
write_use_compression,1000,20000,20000,100,9545.326232910156,1685.8577728271484,7327.556610107422
write_use_statistics,1000,20000,20000,100,6709.33723449707,1780.0331115722656,4350.423812866211
read_with_external_metadata,1000,20000,20000,100,5037.784576416016,810.8615875244141,4226.922988891602
read_use_dataset,1000,20000,20000,100,21047.353744506836,nan,nan
fast,1000,20000,20000,100,8042.097091674805,1692.7719116210938,5497.932434082031
fast_nullable,1000,20000,20000,100,8102.655410766602,2255.2013397216797,5847.454071044922
write_use_dictionary,2000,20000,20000,100,14705.419540405273,3236.2937927246094,10660.886764526367
write_use_compression,2000,20000,20000,100,9266.138076782227,3207.9219818115234,5289.0777587890625
write_use_statistics,2000,20000,20000,100,7688.999176025391,3280.8780670166016,4109.621047973633
read_with_external_metadata,2000,20000,20000,100,5721.807479858398,1566.6484832763672,4134.654998779297
read_use_dataset,2000,20000,20000,100,23751.258850097656,nan,nan
fast,2000,20000,20000,100,8683.443069458008,3311.634063720703,4468.679428100586
fast_nullable,2000,20000,20000,100,11425.018310546875,3879.070281982422,6731.986999511719
write_use_dictionary,3000,20000,20000,100,15084.266662597656,4714.727401733398,9060.144424438477
write_use_compression,3000,20000,20000,100,11039.257049560547,4590.511322021484,5184.650421142578
write_use_statistics,3000,20000,20000,100,9476.184844970703,4780.53092956543,4055.2616119384766
read_with_external_metadata,3000,20000,20000,100,7014.274597167969,2490.2820587158203,4523.992538452148
read_use_dataset,3000,20000,20000,100,27560.710906982422,nan,nan
fast,3000,20000,20000,100,13149.499893188477,5879.402160644531,5781.412124633789
fast_nullable,3000,20000,20000,100,12706.279754638672,6227.4932861328125,5908.966064453125
write_use_dictionary,4000,20000,20000,100,17419.099807739258,6614.446640014648,9311.437606811523
write_use_compression,4000,20000,20000,100,13237.714767456055,6004.571914672852,5568.504333496094
write_use_statistics,4000,20000,20000,100,11998.414993286133,6412.744522094727,4129.171371459961
read_with_external_metadata,4000,20000,20000,100,7310.152053833008,3073.2154846191406,4198.0743408203125
read_use_dataset,4000,20000,20000,100,32818.55583190918,nan,nan
fast,4000,20000,20000,100,15363.216400146484,6499.290466308594,6901.741027832031
fast_nullable,4000,20000,20000,100,14281.988143920898,6250.143051147461,6441.593170166016
write_use_dictionary,5000,20000,20000,100,17352.34260559082,7841.825485229492,7431.507110595703
write_use_compression,5000,20000,20000,100,15039.920806884766,8108.854293823242,5410.432815551758
write_use_statistics,5000,20000,20000,100,14661.312103271484,10113.239288330078,4383.563995361328
read_with_external_metadata,5000,20000,20000,100,7906.913757324219,3809.213638305664,4097.700119018555
read_use_dataset,5000,20000,20000,100,38332.462310791016,nan,nan
fast,5000,20000,20000,100,15273.332595825195,7844.209671020508,5393.266677856445
fast_nullable,5000,20000,20000,100,15656.709671020508,7978.4393310546875,5842.924118041992
write_use_dictionary,6000,20000,20000,100,23438.692092895508,10043.859481811523,10475.15869140625
write_use_compression,6000,20000,20000,100,17464.876174926758,9905.338287353516,5704.641342163086
write_use_statistics,6000,20000,20000,100,16634.225845336914,11032.342910766602,4186.6302490234375
read_with_external_metadata,6000,20000,20000,100,9982.109069824219,5232.095718383789,4750.01335144043
read_use_dataset,6000,20000,20000,100,44910.430908203125,nan,nan
fast,6000,20000,20000,100,17621.04034423828,8923.053741455078,5597.114562988281
fast_nullable,6000,20000,20000,100,18158.1974029541,9283.54263305664,6236.31477355957
write_use_dictionary,7000,20000,20000,100,24465.79933166504,11116.266250610352,10534.524917602539
write_use_compression,7000,20000,20000,100,19588.708877563477,11193.990707397461,5651.4739990234375
write_use_statistics,7000,20000,20000,100,18159.151077270508,11477.470397949219,4182.577133178711
read_with_external_metadata,7000,20000,20000,100,10361.909866333008,5423.545837402344,4419.088363647461
read_use_dataset,7000,20000,20000,100,49910.783767700195,nan,nan
fast,7000,20000,20000,100,17512.083053588867,10475.873947143555,4210.233688354492
fast_nullable,7000,20000,20000,100,20354.270935058594,13679.50439453125,6150.484085083008
write_use_dictionary,8000,20000,20000,100,25928.020477294922,12380.361557006836,9361.028671264648
write_use_compression,8000,20000,20000,100,20730.018615722656,12493.84880065918,5402.326583862305
write_use_statistics,8000,20000,20000,100,21199.703216552734,14935.731887817383,4278.1829833984375
read_with_external_metadata,8000,20000,20000,100,10940.313339233398,6280.660629272461,4572.391510009766
read_use_dataset,8000,20000,20000,100,55181.98013305664,nan,nan
fast,8000,20000,20000,100,19625.90217590332,12927.532196044922,4315.853118896484
fast_nullable,8000,20000,20000,100,21153.926849365234,12239.456176757812,6037.95051574707
